id,usuarioId,restauranteId,fecha,estado,total,articulos
o14,u19,r1,2023-02-18 20:26:00,pendiente,162.1,"[{""menuItemId"": ""m2"", ""nombre"": ""Platillo 2"", ""cantidad"": 5, ""precio"": 32.42}]"
o15,u4,r6,2023-02-15 13:46:00,cancelado,37.4,"[{""menuItemId"": ""m5"", ""nombre"": ""Platillo 5"", ""cantidad"": 4, ""precio"": 9.35}]"
o16,u7,r3,2023-02-25 10:08:00,cancelado,166.84,"[{""menuItemId"": ""m6"", ""nombre"": ""Platillo 6"", ""cantidad"": 4, ""precio"": 41.71}]"
o17,u11,r3,2023-02-19 17:02:00,cancelado,212.24,"[{""menuItemId"": ""m8"", ""nombre"": ""Platillo 8"", ""cantidad"": 3, ""precio"": 21.71}, {""menuItemId"": ""m4"", ""nombre"": ""Platillo 4"", ""cantidad"": 4, ""precio"": 9.64}, {""menuItemId"": ""m8"", ""nombre"": ""Platillo 8"", ""cantidad"": 5, ""precio"": 21.71}]"
o18,u2,r4,2023-02-21 12:35:00,completado,452.85,"[{""menuItemId"": ""m6"", ""nombre"": ""Platillo 6"", ""cantidad"": 5, ""precio"": 41.71}, {""menuItemId"": ""m7"", ""nombre"": ""Platillo 7"", ""cantidad"": 5, ""precio"": 48.86}]"
o19,u5,r7,2023-02-17 20:58:00,cancelado,102.24,"[{""menuItemId"": ""m2"", ""nombre"": ""Platillo 2"", ""cantidad"": 2, ""precio"": 32.42}, {""menuItemId"": ""m5"", ""nombre"": ""Platillo 5"", ""cantidad"": 4, ""precio"": 9.35}]"
o20,u11,r10,2023-02-21 16:10:00,cancelado,48.86,"[{""menuItemId"": ""m7"", ""nombre"": ""Platillo 7"", ""cantidad"": 1, ""precio"": 48.86}]"
o21,u8,r5,2023-02-05 13:17:00,cancelado,411.77,"[{""menuItemId"": ""m7"", ""nombre"": ""Platillo 7"", ""cantidad"": 5, ""precio"": 48.86}, {""menuItemId"": ""m8"", ""nombre"": ""Platillo 8"", ""cantidad"": 5, ""precio"": 21.71}, {""menuItemId"": ""m10"", ""nombre"": ""Platillo 10"", ""cantidad"": 4, ""precio"": 14.73}]"
o22,u13,r2,2023-02-22 18:35:00,cancelado,100.75,"[{""menuItemId"": ""m3"", ""nombre"": ""Platillo 3"", ""cantidad"": 1, ""precio"": 6.45}, {""menuItemId"": ""m2"", ""nombre"": ""Platillo 2"", ""cantidad"": 2, ""precio"": 32.42}, {""menuItemId"": ""m10"", ""nombre"": ""Platillo 10"", ""cantidad"": 2, ""precio"": 14.73}]"
o23,u15,r9,2023-02-15 10:29:00,cancelado,131.34,"[{""menuItemId"": ""m5"", ""nombre"": ""Platillo 5"", ""cantidad"": 2, ""precio"": 9.35}, {""menuItemId"": ""m3"", ""nombre"": ""Platillo 3"", ""cantidad"": 4, ""precio"": 6.45}, {""menuItemId"": ""m8"", ""nombre"": ""Platillo 8"", ""cantidad"": 4, ""precio"": 21.71}]"
o24,u9,r8,2023-02-25 20:55:00,cancelado,352.85,"[{""menuItemId"": ""m7"", ""nombre"": ""Platillo 7"", ""cantidad"": 2, ""precio"": 48.86}, {""menuItemId"": ""m8"", ""nombre"": ""Platillo 8"", ""cantidad"": 5, ""precio"": 21.71}, {""menuItemId"": ""m7"", ""nombre"": ""Platillo 7"", ""cantidad"": 3, ""precio"": 48.86}]"
o25,u20,r7,2023-02-02 12:27:00,cancelado,309.43,"[{""menuItemId"": ""m8"", ""nombre"": ""Platillo 8"", ""cantidad"": 3, ""precio"": 21.71}, {""menuItemId"": ""m7"", ""nombre"": ""Platillo 7"", ""cantidad"": 5, ""precio"": 48.86}]"
o26,u2,r8,2023-02-11 17:12:00,pendiente,162.1,"[{""menuItemId"": ""m2"", ""nombre"": ""Platillo 2"", ""cantidad"": 5, ""precio"": 32.42}]"
o27,u10,r10,2023-02-07 16:20:00,completado,207.38,"[{""menuItemId"": ""m9"", ""nombre"": ""Platillo 9"", ""cantidad"": 4, ""precio"": 31.69}, {""menuItemId"": ""m4"", ""nombre"": ""Platillo 4"", ""cantidad"": 5, ""precio"": 9.64}, {""menuItemId"": ""m2"", ""nombre"": ""Platillo 2"", ""cantidad"": 1, ""precio"": 32.42}]"
o28,u14,r5,2023-02-14 13:04:00,pendiente,185.51,"[{""menuItemId"": ""m1"", ""nombre"": ""Platillo 1"", ""cantidad"": 2, ""precio"": 45.22}, {""menuItemId"": ""m9"", ""nombre"": ""Platillo 9"", ""cantidad"": 3, ""precio"": 31.69}]"
o29,u7,r4,2023-02-23 19:06:00,cancelado,31.69,"[{""menuItemId"": ""m9"", ""nombre"": ""Platillo 9"", ""cantidad"": 1, ""precio"": 31.69}]"
o30,u16,r10,2023-02-08 10:57:00,cancelado,42.36,"[{""menuItemId"": ""m3"", ""nombre"": ""Platillo 3"", ""cantidad"": 2, ""precio"": 6.45}, {""menuItemId"": ""m10"", ""nombre"": ""Platillo 10"", ""cantidad"": 2, ""precio"": 14.73}]"
